void	2	0
main	11	0
{	39	0
void	2	9
nomevariavel	7	9
{	39	9
nomevariavel	7	10
,	43	10
nomevariavel	7	10
:	41	10
integer	13	10
;	40	10
inicio	15	12
cout	24	15
<<	34	15
literal	12	15
;	40	15
cin	25	16
>>	28	16
nomevariavel	7	16
;	40	16
cout	24	17
<<	34	17
literal	12	17
;	40	17
cin	25	18
>>	28	18
nomevariavel	7	18
;	40	18
if	16	20
(	46	20
nomevariavel	7	20
>	30	20
nomevariavel	7	20
)	45	20
{	39	20
nomevariavel	7	21
=	32	21
numerointeiro	5	21
;	40	21
}	38	22
else	21	23
{	39	23
nomevariavel	7	24
=	32	24
numerointeiro	5	24
;	40	24
}	38	25
;	40	25
fim	20	27
return	4	29
(	46	29
)	45	29
}	38	30
inicio	15	33
callfuncao	27	36
nomevariavel	7	36
;	40	36
fim	20	38
}	38	40
